"","OPE","window","mI","NAA","Cr","Cho","Glu","Glx"
"1","BCEtP","birth","0.848","0.824","0.409","0.895","0.851","0.844"
"2","BCEtP","prenatal","0.162","0.703","0.611","0.119","0.939","0.682"
"3","BCEtP","three_year","0.885","0.960","0.844","0.237","0.400","0.127"
"4","BDCPP","birth","0.732","0.933","0.483","0.163","0.607","0.279"
"5","BDCPP","prenatal","0.953","0.482","0.119","0.060","0.521","0.234"
"6","BDCPP","three_year","0.551","0.815","0.721","0.658","0.611","0.914"
"7","DBuP","birth","0.657","0.170","0.506","0.362","0.504","0.468"
"8","DBuP","prenatal","0.164","0.251","0.714","0.230","0.914","0.657"
"9","DBuP","three_year","0.581","0.285","0.480","0.439","0.849","0.301"
"10","DPHP","birth","0.632","0.091","0.696","0.795","0.104","0.945"
"11","DPHP","prenatal","0.160","0.009","0.089","0.631","0.019","0.014"
"12","DPHP","three_year","0.181","0.285","0.120","0.192","0.042","0.991"
