term,estimate,p.value,outcome
BCEtP,-3.5310928111631266,0.048409454823664655,lhSurfaceHoles
BCEtP,-3.309868630345554,0.035761004058397106,rhSurfaceHoles
BCEtP,-6.8409614415086795,0.036286208577424706,SurfaceHoles
BDCPP,-21.216129000668584,0.019140524872449438,Left_Accumbens_area
BDCPP,22.776210316809195,0.0425192964872384,Right_choroid_plexus
DBuP,-501.6491733672013,0.04032351112658905,Left_Cerebellum_White_Matter
DBuP,-32.3701611520068,0.00981193138069092,Left_Accumbens_area
DPHP,800.7990088313317,0.008773635111741784,Left_Lateral_Ventricle
DPHP,28.567445032580345,0.028256270537649675,Left_choroid_plexus
DPHP,536.2413151292934,0.0335882495554759,Right_Lateral_Ventricle
